2024-07-10 11:16:59.324 [] INFO  - org.ligot.afriyan.OngafriyanApplication - Starting OngafriyanApplication using Java 17.0.1 with PID 20128 (C:\Users\GLC\Documents\Project\Java\Formation\bizz\ongafriyan\target\classes started by GLC in C:\Users\GLC\Documents\Project\Java\Formation\bizz\ongafriyan)
2024-07-10 11:16:59.336 [] INFO  - org.ligot.afriyan.OngafriyanApplication - The following 1 profile is active: "prod"
2024-07-10 11:16:59.882 [] INFO  - org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-07-10 11:16:59.885 [] INFO  - org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-07-10 11:17:02.815 [] INFO  - org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-07-10 11:17:03.302 [] INFO  - org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 470 ms. Found 28 JPA repository interfaces.
2024-07-10 11:17:04.565 [] INFO  - org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2024-07-10 11:17:04.580 [] INFO  - org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-07-10 11:17:04.581 [] INFO  - org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.10]
2024-07-10 11:17:04.688 [] INFO  - org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-07-10 11:17:04.689 [] INFO  - org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4801 ms
2024-07-10 11:17:05.152 [] INFO  - org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-07-10 11:17:05.247 [] INFO  - org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.5.Final
2024-07-10 11:17:05.252 [] INFO  - org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
2024-07-10 11:17:05.559 [] INFO  - org.hibernate.bytecode.internal.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
2024-07-10 11:17:05.795 [] INFO  - org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-07-10 11:17:05.824 [] INFO  - com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-07-10 11:17:10.554 [] INFO  - com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@3df3a4d6
2024-07-10 11:17:10.558 [] INFO  - com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-07-10 11:17:17.668 [] INFO  - org.hibernate.bytecode.internal.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
2024-07-10 11:17:18.937 [] INFO  - org.hibernate.metamodel.internal.EntityInstantiatorPojoStandard - HHH000182: No default (no-argument) constructor for class: org.ligot.afriyan.entities.UserConnect (class must be instantiated by Interceptor)
2024-07-10 11:17:19.563 [] INFO  - org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2024-07-10 11:19:29.293 [] INFO  - org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-07-10 11:19:31.806 [] INFO  - org.springframework.data.jpa.repository.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2024-07-10 11:19:33.551 [] INFO  - org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2024-07-10 11:19:33.679 [] INFO  - org.springframework.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@c88fa5b, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@10c7ef90, org.springframework.security.web.context.SecurityContextHolderFilter@34e5ac90, org.springframework.security.web.header.HeaderWriterFilter@7d522963, org.springframework.security.web.authentication.logout.LogoutFilter@1e35005b, org.ligot.afriyan.config.securities.JwtAuthenticationFilter@224b90a3, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@20ca3c96, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@64244d55, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@78616dd6, org.springframework.security.web.session.SessionManagementFilter@483620b5, org.springframework.security.web.access.ExceptionTranslationFilter@15db92ad, org.springframework.security.web.access.intercept.AuthorizationFilter@65af2f9d]
2024-07-10 11:19:34.437 [] INFO  - org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-07-10 11:19:34.582 [] INFO  - org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2024-07-10 11:19:34.612 [] INFO  - org.ligot.afriyan.OngafriyanApplication - Started OngafriyanApplication in 155.962 seconds (process running for 158.574)
2024-07-10 11:19:34.979 [] INFO  - org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-07-10 11:19:34.979 [] INFO  - org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-07-10 11:19:34.982 [] INFO  - org.springframework.web.servlet.DispatcherServlet - Completed initialization in 3 ms
