2024-06-26 20:43:28.793 [] INFO  - org.ligot.afriyan.OngafriyanApplication - Starting OngafriyanApplication using Java 17.0.1 with PID 18388 (C:\Users\GLC\Documents\Project\Java\Formation\bizz\ongafriyan\target\classes started by GLC in C:\Users\GLC\Documents\Project\Java\Formation\bizz\ongafriyan)
2024-06-26 20:43:28.797 [] INFO  - org.ligot.afriyan.OngafriyanApplication - The following 1 profile is active: "dev"
2024-06-26 20:43:29.171 [] INFO  - org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-06-26 20:43:29.174 [] INFO  - org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-06-26 20:43:33.295 [] INFO  - org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-06-26 20:43:33.856 [] INFO  - org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 543 ms. Found 28 JPA repository interfaces.
2024-06-26 20:43:35.659 [] INFO  - org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2024-06-26 20:43:35.682 [] INFO  - org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-06-26 20:43:35.683 [] INFO  - org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.10]
2024-06-26 20:43:35.839 [] INFO  - org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-06-26 20:43:35.840 [] INFO  - org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 6661 ms
2024-06-26 20:43:36.579 [] INFO  - org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-06-26 20:43:36.700 [] INFO  - org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.5.Final
2024-06-26 20:43:36.708 [] INFO  - org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
