2024-08-14 19:12:55.629 [] INFO  - org.ligot.afriyan.OngafriyanApplication - Starting OngafriyanApplication using Java 17.0.1 with PID 17512 (C:\Users\GLC\Documents\Project\Java\Formation\bizz\ongafriyan\target\classes started by GLC in C:\Users\GLC\Documents\Project\Java\Formation\bizz\ongafriyan)
2024-08-14 19:12:55.660 [] INFO  - org.ligot.afriyan.OngafriyanApplication - The following 1 profile is active: "dev"
2024-08-14 19:12:55.873 [] INFO  - org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-08-14 19:12:55.874 [] INFO  - org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-08-14 19:12:58.569 [] INFO  - org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-08-14 19:12:58.948 [] INFO  - org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 364 ms. Found 28 JPA repository interfaces.
2024-08-14 19:13:00.269 [] INFO  - org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8087 (http)
2024-08-14 19:13:00.286 [] INFO  - org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-08-14 19:13:00.287 [] INFO  - org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.10]
2024-08-14 19:13:00.422 [] INFO  - org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-08-14 19:13:00.423 [] INFO  - org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4548 ms
2024-08-14 19:13:00.933 [] INFO  - org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-08-14 19:13:01.047 [] INFO  - org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.5.Final
2024-08-14 19:13:01.051 [] INFO  - org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
2024-08-14 19:13:01.343 [] INFO  - org.hibernate.bytecode.internal.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
2024-08-14 19:13:01.597 [] INFO  - org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-08-14 19:13:01.629 [] INFO  - com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-08-14 19:13:02.003 [] INFO  - com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@13e7a8a1
2024-08-14 19:13:02.006 [] INFO  - com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-08-14 19:13:02.915 [] INFO  - org.hibernate.bytecode.internal.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
2024-08-14 19:13:04.313 [] INFO  - org.hibernate.metamodel.internal.EntityInstantiatorPojoStandard - HHH000182: No default (no-argument) constructor for class: org.ligot.afriyan.entities.UserConnect (class must be instantiated by Interceptor)
2024-08-14 19:13:04.875 [] INFO  - org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2024-08-14 19:13:05.697 [] INFO  - org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-08-14 19:13:08.130 [] INFO  - org.springframework.data.jpa.repository.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2024-08-14 19:13:10.061 [] INFO  - org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2024-08-14 19:13:10.225 [] INFO  - org.springframework.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@1d9c53d6, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@54f6bc25, org.springframework.security.web.context.SecurityContextHolderFilter@59d78d89, org.springframework.security.web.header.HeaderWriterFilter@57394d36, org.springframework.security.web.authentication.logout.LogoutFilter@3ff91db7, org.ligot.afriyan.config.securities.JwtAuthenticationFilter@5fabcd4b, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@26f74315, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@37e3ba67, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5cc5253a, org.springframework.security.web.session.SessionManagementFilter@5aa4885c, org.springframework.security.web.access.ExceptionTranslationFilter@75252c21, org.springframework.security.web.access.intercept.AuthorizationFilter@349fb78f]
2024-08-14 19:13:11.028 [] INFO  - org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-08-14 19:13:11.172 [] INFO  - org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8087 (http) with context path ''
2024-08-14 19:13:11.208 [] INFO  - org.ligot.afriyan.OngafriyanApplication - Started OngafriyanApplication in 16.283 seconds (process running for 18.29)
2024-08-14 19:21:45.665 [] INFO  - org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-08-14 19:21:45.668 [] INFO  - org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-08-14 19:21:45.680 [] INFO  - org.springframework.web.servlet.DispatcherServlet - Completed initialization in 10 ms
2024-08-14 19:21:49.930 [] INFO  - org.springdoc.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 2948 ms
2024-08-14 19:23:43.768 [] INFO  - org.springdoc.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 1330 ms
